Date,Price,Open,High,Low,Vol.,Change %
"Feb 09, 2018",5798.00,5858.00,5858.00,5753.00,0.10K,-1.01
"Feb 08, 2018",5857.00,5858.00,5870.00,5813.00,0.05K,0.38
"Feb 07, 2018",5835.00,5913.00,5913.00,5864.00,0.10K,0.46
"Feb 06, 2018",5808.00,6003.00,6003.00,5813.00,0.63K,0.01
"Feb 05, 2018",5807.50,5986.50,5997.50,5784.50,0.00,-3.01
"Feb 04, 2018",5987.50,5995.50,5996.50,5974.00,0.00,-2.04
"Feb 02, 2018",6112.00,6079.00,6079.00,6079.00,0.00K,0.56
"Feb 01, 2018",6078.00,6013.00,6077.00,6013.00,0.53K,0.91
"Jan 31, 2018",6023.00,5975.00,6009.00,5975.00,0.01K,1.41
"Jan 30, 2018",5939.50,5986.50,6002.50,5921.50,0.00,-1.83
"Jan 29, 2018",6050.00,6049.00,6071.00,6049.00,0.13K,0.58
"Jan 26, 2018",6015.00,5991.00,6015.50,5983.50,0.00,-0.40
"Jan 25, 2018",6039.00,6016.00,6024.00,6016.00,0.05K,-0.02
"Jan 24, 2018",6040.00,6034.00,6050.00,6031.00,0.10K,0.79
"Jan 23, 2018",5992.50,5982.50,6006.50,5974.50,0.00,0.16
"Jan 22, 2018",5983.00,5958.50,5983.50,5933.50,0.00,0.43
"Jan 21, 2018",5957.50,5971.50,5972.00,5953.00,0.00,-0.51
"Jan 19, 2018",5988.00,5995.00,5995.00,5995.00,0.02K,-0.37
"Jan 18, 2018",6010.00,6009.00,6031.00,6009.00,1.14K,0.00
"Jan 17, 2018",6010.00,6061.00,6064.00,6009.00,1.47K,-0.51
"Jan 16, 2018",6041.00,6065.00,6065.00,6045.00,0.80K,-0.56
"Jan 15, 2018",6075.00,6079.00,6086.00,6074.00,0.42K,0.10
"Jan 12, 2018",6069.00,6078.00,6083.00,6064.00,0.17K,0.10
"Jan 11, 2018",6063.00,6094.00,6094.00,6059.00,0.03K,-0.53
"Jan 10, 2018",6095.00,6153.00,6153.00,6099.00,0.14K,-0.67
"Jan 09, 2018",6136.00,6128.00,6150.00,6128.00,0.03K,0.11
"Jan 08, 2018",6129.00,6133.00,6134.00,6133.00,0.02K,0.11
"Jan 05, 2018",6122.00,6105.00,6129.00,6105.00,0.07K,0.81
"Jan 04, 2018",6073.00,6082.00,6088.00,6071.00,0.05K,-0.10
"Jan 03, 2018",6079.00,6075.00,6077.00,6067.00,0.25K,0.16
"Jan 02, 2018",6069.00,6066.00,6066.00,6062.00,0.52K,0.05
"Dec 29, 2017",6066.00,6095.00,6095.00,6087.00,0.02K,-0.43
"Dec 28, 2017",6092.00,6066.00,6084.00,6062.00,0.01K,0.38
"Dec 27, 2017",6069.00,6082.00,6086.00,6068.00,0.03K,-0.07
"Dec 22, 2017",6073.00,6071.00,6088.00,6067.00,0.04K,0.45
"Dec 21, 2017",6046.00,6079.00,6086.00,6044.00,5.49K,-0.54
"Dec 20, 2017",6079.00,6077.00,6088.00,6051.00,64.72K,0.03
"Dec 19, 2017",6077.00,6039.00,6087.00,6039.00,337.07K,0.60
"Dec 18, 2017",6041.00,6004.00,6046.00,6001.00,118.16K,0.55
"Dec 15, 2017",6008.00,6011.00,6039.00,5992.00,50.71K,-0.08
"Dec 14, 2017",6013.00,6028.00,6067.00,6012.00,45.58K,-0.23
"Dec 13, 2017",6027.00,6022.00,6035.00,6008.00,36.27K,0.15
"Dec 12, 2017",6018.00,6004.00,6025.00,5996.00,30.43K,0.23
"Dec 11, 2017",6004.00,6000.00,6026.00,5994.00,25.30K,0.05
"Dec 08, 2017",6001.00,5982.00,6019.00,5973.00,31.53K,0.33
"Dec 07, 2017",5981.00,5954.00,5995.00,5942.00,30.93K,0.50
"Dec 06, 2017",5951.00,5978.00,5987.00,5943.00,36.01K,-0.48
"Dec 05, 2017",5980.00,5993.00,6005.00,5953.00,35.78K,-0.27
"Dec 04, 2017",5996.00,5994.00,6019.00,5949.00,33.04K,-0.02
"Dec 01, 2017",5997.00,5988.00,6021.00,5985.00,31.44K,0.18
"Nov 30, 2017",5986.00,6020.00,6037.00,5956.00,46.24K,-0.55
"Nov 29, 2017",6019.00,5990.00,6042.00,5987.00,36.72K,0.50
"Nov 28, 2017",5989.00,5990.00,6015.00,5978.00,27.15K,-0.03
