Date,Price,Open,High,Low,Vol.,Change %
"Feb 09, 2018",8412.05,"8,412.05","8,412.05","8,412.05",0,-0.32
"Feb 08, 2018",8438.78,"8,438.78","8,438.78","8,438.78",0,2.9
"Feb 07, 2018",8201.09,"8,201.09","8,201.09","8,201.09",0,16.55
"Feb 06, 2018",7036.57,"7,036.57","7,036.57","7,036.57",0,-4.65
"Feb 05, 2018",7379.38,"7,379.38","7,379.38","7,379.38",0,-14.2
"Feb 02, 2018",8600.81,"8,600.81","8,600.81","8,600.81",0,-7.97
"Feb 01, 2018",9345.29,"9,345.29","9,345.29","9,345.29",0,-5.55
"Jan 31, 2018",9894.49,"9,894.49","9,894.49","9,894.49",0,-6.03
"Jan 30, 2018",10529.80,"10,529.80","10,529.80","10,529.80",0,-5.21
"Jan 29, 2018",11108.81,"11,108.81","11,108.81","11,108.81",0,3.06
"Jan 26, 2018",10779.44,"10,779.44","10,779.44","10,779.44",0,-3.62
"Jan 25, 2018",11183.73,"11,318.75","11,318.75","11,183.73",0,-1.19
"Jan 24, 2018",11318.75,"11,318.75","11,318.75","11,318.75",0,9
"Jan 23, 2018",10384.04,"10,384.04","10,384.04","10,384.04",0,-2.92
"Jan 22, 2018",10696.92,"10,696.92","10,696.92","10,696.92",0,-7.37
"Jan 19, 2018",11548.43,"11,548.43","11,548.43","11,548.43",0,-2.57
"Jan 18, 2018",11853.61,"11,853.61","11,853.61","11,853.61",0,24.55
"Jan 17, 2018",9517.06,"9,517.06","9,517.06","9,517.06",0,-20.82
"Jan 16, 2018",12020.27,"12,020.27","12,020.27","12,020.27",0,-15.08
"Jan 15, 2018",14154.68,"14,154.68","14,154.68","14,154.68",0,1.78
"Jan 12, 2018",13906.78,"13,906.78","13,906.78","13,906.78",0,1.24
"Jan 11, 2018",13736.29,"13,736.29","13,736.29","13,736.29",0,-0.05
"Jan 10, 2018",13742.91,"13,742.91","13,742.91","13,742.91",0,-5.39
"Jan 09, 2018",14526.30,"14,526.30","14,526.30","14,526.30",0,0.17
"Jan 08, 2018",14501.95,"14,501.95","14,501.95","14,501.95",0,-9.64
"Jan 05, 2018",16048.20,"16,048.20","16,048.20","16,048.20",0,9.54
"Jan 04, 2018",14650.12,"14,650.12","14,650.12","14,650.12",0,-2.12
"Jan 03, 2018",14966.77,"14,966.77","14,966.77","14,966.77",0,8.02
"Jan 02, 2018",13855.09,"13,855.09","13,855.09","13,855.09",0,5.51
"Jan 01, 2018",13131.15,"13,131.15","13,131.15","13,131.15",0,-9.39
"Dec 29, 2017",14492.18,"14,492.18","14,492.18","14,492.18",0,1.41
"Dec 28, 2017",14290.92,"14,290.92","14,290.92","14,290.92",0,-6.81
"Dec 27, 2017",15335.58,"15,335.58","15,335.58","15,335.58",0,-2.55
"Dec 26, 2017",15737.30,"15,737.30","15,737.30","15,737.30",0,12.84
"Dec 25, 2017",13946.57,"13,946.57","13,946.57","13,946.57",0,18.4
