Date,Price,Open,High,Low,Vol.,Change %
"Feb 09, 2018",12107.48,12263.1,12296.18,12003.36,181.25M,-1.25
"Feb 08, 2018",12260.29,12506.18,12541.32,12187.45,158.76M,-2.62
"Feb 07, 2018",12590.43,12478.68,12651.28,12414.84,158.22M,1.6
"Feb 06, 2018",12392.66,12232.86,12550.16,12232.86,211.19M,-2.32
"Feb 05, 2018",12687.49,12687.79,12752.6,12622.44,117.46M,-0.76
"Feb 02, 2018",12785.16,12954.59,12954.59,12782.07,145.23M,-1.68
"Feb 01, 2018",13003.90,13235.15,13301.41,12971.78,126.68M,-1.41
"Jan 31, 2018",13189.48,13210.76,13268.41,13159.35,115.31M,-0.06
"Jan 30, 2018",13197.71,13223.97,13309.86,13171.91,118.71M,-0.95
"Jan 29, 2018",13324.48,13358.9,13370.02,13274.84,81.26M,-0.12
"Jan 26, 2018",13340.17,13297.51,13348.69,13268.31,78.17M,0.31
"Jan 25, 2018",13298.36,13374.38,13443.36,13222.47,109.40M,-0.87
"Jan 24, 2018",13414.74,13572.71,13576.84,13414.74,108.64M,-1.07
"Jan 23, 2018",13559.60,13577.14,13596.89,13517.81,100.25M,0.71
"Jan 22, 2018",13463.69,13435.14,13470.05,13410.96,98.24M,0.22
"Jan 19, 2018",13434.45,13297.74,13445.47,13294.81,111.49M,1.15
"Jan 18, 2018",13281.43,13250.25,13293.29,13201.34,92.42M,0.74
"Jan 17, 2018",13183.96,13200.92,13251.44,13137.51,90.87M,-0.47
"Jan 16, 2018",13246.33,13228.6,13351.09,13196.56,88.46M,0.35
"Jan 15, 2018",13200.51,13244.37,13250.37,13173.71,60.13M,-0.34
"Jan 12, 2018",13245.03,13241.28,13265.14,13168.01,90.61M,0.32
"Jan 11, 2018",13202.90,13281.2,13298.65,13151.84,114.00M,-0.59
"Jan 10, 2018",13281.34,13355.28,13377.88,13227.57,124.06M,-0.78
"Jan 09, 2018",13385.59,13383.26,13425.02,13361.22,97.70M,0.13
"Jan 08, 2018",13367.78,13399.62,13407.82,13334.16,97.94M,0.36
"Jan 05, 2018",13319.64,13219.11,13332.8,13219.11,116.04M,1.15
"Jan 04, 2018",13167.89,13065.98,13208.35,13062.67,104.33M,1.46
"Jan 03, 2018",12978.21,12916.18,13023.59,12893.05,87.43M,0.83
"Jan 02, 2018",12871.39,12897.69,12924.16,12745.15,88.71M,-0.36
"Dec 29, 2017",12917.64,12980.09,12980.74,12911.73,43.47M,-0.48
"Dec 28, 2017",12979.94,13065.46,13069.4,12965.28,44.49M,-0.69
"Dec 27, 2017",13070.02,13070.19,13128.74,13020.43,46.06M,-0.02
"Dec 22, 2017",13072.79,13076.76,13108.56,13059.87,54.51M,-0.28
"Dec 21, 2017",13109.74,13065.79,13137.71,13013.63,72.54M,0.31
"Dec 20, 2017",13069.17,13244.27,13252.67,13026.11,82.31M,-1.11
"Dec 19, 2017",13215.79,13314.73,13338.91,13213.19,76.17M,-0.72
