Date,Price,Open,High,Low,Vol.,Change %
"Feb 09, 2018",7092.43,7170.69,7170.69,7073.03,955.73M,-1.09
"Feb 08, 2018",7170.69,7279.42,7279.42,7161.31,1.00B,-1.49
"Feb 07, 2018",7279.42,7141.4,7311.5,7141.4,1.06B,1.93
"Feb 06, 2018",7141.40,7334.98,7334.98,7079.41,1.40B,-2.64
"Feb 05, 2018",7334.98,7443.43,7443.43,7334.79,916.49M,-1.46
"Feb 02, 2018",7443.43,7490.39,7494.76,7432.25,898.53M,-0.63
"Feb 01, 2018",7490.39,7533.55,7554.73,7476.51,899.49M,-0.57
"Jan 31, 2018",7533.55,7587.98,7599.01,7521.77,907.20M,-0.72
"Jan 30, 2018",7587.98,7671.53,7671.67,7587.12,823.71M,-1.09
"Jan 29, 2018",7671.53,7665.54,7689.15,7663.93,631.88M,0.08
"Jan 26, 2018",7665.54,7615.84,7667.4,7615.84,735.67M,0.65
"Jan 25, 2018",7615.84,7643.43,7662.35,7608.53,735.31M,-0.36
"Jan 24, 2018",7643.43,7731.83,7731.98,7643.43,769.85M,-1.14
"Jan 23, 2018",7731.83,7715.44,7745.22,7710.03,765.38M,0.21
"Jan 22, 2018",7715.44,7730.79,7739.35,7703.67,752.61M,-0.2
"Jan 19, 2018",7730.79,7700.96,7731.82,7694.66,820.00M,0.39
"Jan 18, 2018",7700.96,7725.43,7739.54,7683.71,789.20M,-0.32
"Jan 17, 2018",7725.43,7755.93,7755.93,7711.11,847.95M,-0.39
"Jan 16, 2018",7755.93,7769.14,7791.83,7740.55,849.62M,-0.17
"Jan 15, 2018",7769.14,7778.64,7783.61,7763.43,568.97M,-0.12
"Jan 12, 2018",7778.64,7762.94,7792.56,7752.63,1.17B,0.2
"Jan 11, 2018",7762.94,7748.51,7768.96,7734.64,1.01B,0.19
"Jan 10, 2018",7748.51,7731.02,7756.11,7716.21,885.66M,0.23
"Jan 09, 2018",7731.02,7696.51,7733.12,7696.5,728.23M,0.45
"Jan 08, 2018",7696.51,7724.22,7733.39,7691.77,654.44M,-0.36
"Jan 05, 2018",7724.22,7695.88,7727.73,7689.81,655.71M,0.37
"Jan 04, 2018",7695.88,7671.11,7702.51,7671.11,727.69M,0.32
"Jan 03, 2018",7671.11,7648.1,7689.86,7640.53,589.34M,0.3
"Jan 02, 2018",7648.10,7687.77,7691.34,7624.14,594.07M,-0.52
"Dec 29, 2017",7687.77,7622.88,7697.62,7620.01,298.18M,0.85
"Dec 28, 2017",7622.88,7620.68,7633.55,7609.77,321.52M,0.03
"Dec 27, 2017",7620.68,7592.66,7632.71,7586.42,472.51M,0.37
"Dec 22, 2017",7592.66,7603.98,7614.4,7585.47,251.37M,-0.15
"Dec 21, 2017",7603.98,7525.22,7609.69,7517.88,640.56M,1.05
"Dec 20, 2017",7525.22,7544.09,7550.6,7511.45,679.71M,-0.25
"Dec 19, 2017",7544.09,7537.01,7563.49,7534.08,695.72M,0.09
"Dec 18, 2017",7537.01,7490.57,7544.26,7490.57,585.56M,0.62
"Dec 15, 2017",7490.57,7448.12,7490.57,7433.78,1.22B,0.57
"Dec 14, 2017",7448.12,7496.51,7496.7,7448.12,924.06M,-0.65
"Dec 13, 2017",7496.51,7500.41,7510.77,7492.58,1.03B,-0.05
"Dec 12, 2017",7500.41,7453.48,7501.52,7448.31,1.02B,0.63
"Dec 11, 2017",7453.48,7393.96,7458.4,7393.58,933.60M,0.8
"Dec 08, 2017",7393.96,7320.75,7412.21,7314.23,1.04B,1
"Dec 07, 2017",7320.75,7348.03,7371.73,7314.6,823.88M,-0.37
