Date,Price,Open,High,Low,Vol.,Change %
"Feb 09, 2018",29507.42,29679.21,29679.21,29129.26,5.33B,-3.10
"Feb 08, 2018",30451.27,30555.80,30739.11,30251.32,3.24B,0.42
"Feb 07, 2018",30323.20,31378.35,31472.47,30292.15,4.76B,-0.89
"Feb 06, 2018",30595.42,31028.68,31286.03,30577.83,5.70B,-5.12
"Feb 05, 2018",32245.22,31715.56,32394.87,31712.02,3.23B,-1.09
"Feb 02, 2018",32601.78,32569.01,32778.51,32321.42,2.65B,-0.12
"Feb 01, 2018",32642.09,32950.30,33048.04,32642.09,2.85B,-0.75
"Jan 31, 2018",32887.27,32435.76,32933.98,32330.39,3.42B,0.86
"Jan 30, 2018",32607.29,32751.72,32976.75,32501.35,3.28B,-1.09
"Jan 29, 2018",32966.89,33335.48,33484.08,32897.04,3.72B,-0.56
"Jan 26, 2018",33154.12,32836.28,33223.58,32794.13,4.01B,1.53
"Jan 25, 2018",32654.45,32979.38,32998.05,32650.22,3.56B,-0.92
"Jan 24, 2018",32958.69,32907.23,33018.71,32728.51,4.02B,0.09
"Jan 23, 2018",32930.70,32606.14,32930.70,32554.23,4.08B,1.66
"Jan 22, 2018",32393.41,32276.96,32417.23,32046.84,2.97B,0.43
"Jan 19, 2018",32254.89,32142.16,32254.89,31986.00,3.00B,0.41
"Jan 18, 2018",32121.94,32148.45,32233.81,31869.70,3.86B,0.43
"Jan 17, 2018",31983.41,31825.52,31983.41,31642.27,4.12B,0.25
"Jan 16, 2018",31904.75,31423.62,31904.75,31423.62,3.19B,1.81
"Jan 15, 2018",31338.87,31702.56,31733.18,31265.25,2.75B,-0.23
"Jan 12, 2018",31412.54,31298.05,31412.54,31198.36,2.40B,0.94
"Jan 11, 2018",31120.39,31066.21,31133.18,30950.07,1.85B,0.15
"Jan 10, 2018",31073.72,31009.24,31267.57,30928.58,2.68B,0.20
"Jan 09, 2018",31011.41,30933.51,31056.70,30852.43,2.07B,0.36
"Jan 08, 2018",30899.53,30895.09,30929.15,30732.54,2.07B,0.28
"Jan 05, 2018",30814.64,30893.86,30911.01,30638.53,2.33B,0.25
"Jan 04, 2018",30736.48,30691.71,30796.93,30560.43,3.09B,0.57
"Jan 03, 2018",30560.95,30658.73,30724.32,30456.76,2.38B,0.15
"Jan 02, 2018",30515.31,30028.29,30515.31,30028.29,2.44B,1.99
"Dec 29, 2017",29919.15,29914.05,29997.96,29849.31,1.41B,0.19
"Dec 28, 2017",29863.71,29684.79,29873.10,29661.06,1.38B,0.90
"Dec 27, 2017",29597.66,29632.97,29693.82,29516.51,1.78B,0.07
"Dec 22, 2017",29578.01,29505.05,29578.01,29413.86,1.32B,0.72
"Dec 21, 2017",29367.06,29209.64,29431.81,29145.13,1.49B,0.45
"Dec 20, 2017",29234.09,29199.29,29326.52,29159.28,1.35B,-0.07
"Dec 19, 2017",29253.66,29193.74,29339.11,29144.17,1.68B,0.70
"Dec 18, 2017",29050.41,28923.53,29143.33,28821.19,1.69B,0.70
"Dec 15, 2017",28848.11,29000.11,29017.66,28738.84,2.06B,-1.09
"Dec 14, 2017",29166.38,29335.76,29367.51,29047.61,2.02B,-0.19
"Dec 13, 2017",29222.10,28856.78,29276.67,28707.60,2.65B,1.49
"Dec 12, 2017",28793.88,28972.74,29066.77,28745.73,2.20B,-0.59
"Dec 11, 2017",28965.29,28645.41,28998.51,28645.41,2.19B,1.14
"Dec 08, 2017",28639.85,28400.01,28705.76,28344.39,1.80B,1.19
"Dec 07, 2017",28303.19,28366.14,28478.34,28134.93,1.84B,0.28
"Dec 06, 2017",28224.80,28850.36,28929.21,28204.53,2.69B,-2.14
"Dec 05, 2017",28842.80,28898.58,29124.24,28838.12,1.48B,-1.01
"Dec 04, 2017",29138.28,28951.19,29343.78,28803.19,1.67B,0.22
"Dec 01, 2017",29074.24,29261.31,29345.97,29028.76,2.15B,-0.35
"Nov 30, 2017",29177.35,29340.27,29353.51,29127.30,2.51B,-1.51
"Nov 29, 2017",29623.83,29813.94,29831.19,29563.39,1.48B,-0.19
"Nov 28, 2017",29680.85,29608.64,29687.45,29334.59,1.80B,-0.02
"Nov 27, 2017",29686.19,29857.65,29859.11,29610.96,1.53B,-0.60
"Nov 24, 2017",29866.32,29788.18,29918.92,29696.59,1.58B,0.53
"Nov 23, 2017",29707.94,30033.18,30169.99,29593.79,2.16B,-0.99
"Nov 22, 2017",30003.49,30087.19,30199.69,29911.07,2.55B,0.62
"Nov 21, 2017",29818.07,29369.69,29818.07,29343.48,2.54B,1.91
"Nov 20, 2017",29260.31,29227.08,29299.87,29089.58,1.67B,0.21
"Nov 17, 2017",29199.04,29214.36,29341.92,29158.35,2.13B,0.62
"Nov 16, 2017",29018.76,28963.77,29095.49,28877.76,1.55B,0.58
"Nov 15, 2017",28851.69,29026.11,29106.49,28851.69,2.11B,-1.03
"Nov 14, 2017",29152.12,29272.10,29320.03,29143.63,1.75B,-0.10
"Nov 13, 2017",29182.18,29058.23,29258.50,29058.23,1.84B,0.21
"Nov 10, 2017",29120.92,29060.13,29237.85,29036.45,1.84B,-0.05
"Nov 09, 2017",29136.57,28987.79,29192.51,28960.05,1.88B,0.79
"Nov 08, 2017",28907.60,28950.50,29123.44,28885.07,1.89B,-0.30
"Nov 07, 2017",28994.34,28715.40,29017.40,28715.07,2.19B,1.39
"Nov 06, 2017",28596.80,28616.35,28650.79,28137.77,2.33B,-0.02
"Nov 03, 2017",28603.61,28603.51,28661.29,28542.66,1.63B,0.30
"Nov 02, 2017",28518.64,28604.95,28643.58,28492.20,2.22B,-0.26
"Nov 01, 2017",28594.06,28387.55,28606.59,28329.50,2.39B,1.23
"Oct 31, 2017",28245.54,28247.00,28354.11,28183.79,2.52B,-0.32
"Oct 30, 2017",28336.19,28585.15,28650.82,28336.19,2.20B,-0.36
"Oct 27, 2017",28438.85,28332.91,28494.52,28305.73,2.33B,0.84
"Oct 26, 2017",28202.38,28165.61,28316.20,28102.75,1.48B,-0.36
"Oct 25, 2017",28302.89,28238.85,28387.21,28198.56,1.31B,0.53
"Oct 24, 2017",28154.97,28232.62,28356.10,28098.83,1.47B,-0.53
"Oct 23, 2017",28305.88,28557.80,28557.80,28253.32,1.77B,-0.64
"Oct 20, 2017",28487.24,28360.02,28519.76,28313.70,1.54B,1.17
"Oct 19, 2017",28159.09,28783.85,28798.78,28094.54,2.19B,-1.92
"Oct 18, 2017",28711.76,28636.20,28729.34,28629.73,1.47B,0.05
"Oct 17, 2017",28697.49,28777.18,28777.18,28641.95,1.33B,0.02
"Oct 16, 2017",28692.80,28661.98,28792.06,28620.38,1.79B,0.76
"Oct 13, 2017",28476.43,28423.65,28492.39,28369.87,1.67B,0.06
"Oct 12, 2017",28459.03,28431.05,28528.71,28343.32,1.63B,0.24
"Oct 11, 2017",28389.57,28622.01,28625.66,28330.73,1.93B,-0.36
"Oct 10, 2017",28490.83,28334.92,28503.84,28260.20,1.43B,0.58
