Date,Price,Open,High,Low,Vol.,Change %
"Feb 09, 2018",286637.59,286637.59,286637.59,286637.59,5.98M,-0.34
"Feb 08, 2018",287622.81,287622.81,287622.81,287622.81,7.71M,0.47
"Feb 07, 2018",286272.31,286272.31,286272.31,286272.31,8.75M,-0.22
"Feb 06, 2018",286911.41,286911.41,286911.41,286911.41,1.62M,-0.9
"Feb 05, 2018",289507.19,289507.19,289507.19,289507.19,2.14M,0.72
"Feb 02, 2018",287425.00,287425,287425,287425,0,0.1
"Feb 01, 2018",287142.59,287142.59,287142.59,287142.59,5.85M,-0.25
"Jan 31, 2018",287863.81,287863.81,287863.81,287863.81,17.56M,0.91
"Jan 30, 2018",285271.91,285271.91,285271.91,285271.91,4.10M,0.3
"Jan 29, 2018",284426.81,284426.81,284426.81,284426.81,3.32M,-0.01
"Jan 26, 2018",284460.41,284460.41,284460.41,284460.41,2.64M,-0.5
"Jan 25, 2018",285883.41,285883.41,285883.41,285883.41,0,0.3
"Jan 24, 2018",285018.00,285018,285018,285018,2.07M,-0.58
"Jan 23, 2018",286675.19,286675.19,286675.19,286675.19,3.56M,2.18
"Jan 22, 2018",280564.19,280564.19,280564.19,280564.19,8.07M,-1.22
"Jan 19, 2018",284016.31,284016.31,284016.31,284016.31,5.85M,-0.01
"Jan 18, 2018",284040.31,284040.31,284040.31,284040.31,4.62M,0.54
"Jan 17, 2018",282508.41,282508.41,282508.41,282508.41,3.01M,-0.43
"Jan 16, 2018",283728.91,283728.91,283728.91,283728.91,2.72M,-0.24
"Jan 15, 2018",284413.81,284413.81,284413.81,284413.81,3.23M,0.6
"Jan 12, 2018",282716.00,282716,282716,282716,3.15M,-0.8
"Jan 11, 2018",285003.50,285003.5,285003.5,285003.5,5.11M,-0.74
"Jan 10, 2018",287128.31,287128.31,287128.31,287128.31,4.27M,0.24
"Jan 09, 2018",286435.31,286435.31,286435.31,286435.31,9.41M,-0.02
"Jan 08, 2018",286504.19,286504.19,286504.19,286504.19,7.42M,-0.58
"Jan 05, 2018",288187.59,288187.59,288187.59,288187.59,8.66M,-0.18
"Jan 04, 2018",288720.69,288720.69,288720.69,288720.69,19.25M,-0.02
"Jan 03, 2018",288784.69,288784.69,288784.69,288784.69,9.36M,-0.06
"Jan 02, 2018",288949.19,288949.19,288949.19,288949.19,11.23M,0.2
"Dec 29, 2017",288382.00,288382,288382,288382,10.21M,1.38
"Dec 28, 2017",284454.69,284454.69,284454.69,284454.69,4.65M,0.76
