Date,Price,Open,High,Low,Vol.,Change %
"Feb 09, 2018",2497.74,2527.61,2529.07,2461.17,0.00,0.07
"Feb 08, 2018",2496.07,2537.91,2546.73,2494.29,0.00,-1.57
"Feb 07, 2018",2535.87,2551.66,2559.14,2531.00,0.00,-0.50
"Feb 06, 2018",2548.50,2499.73,2552.56,2499.07,0.00,0.66
"Feb 05, 2018",2531.80,2579.27,2590.14,2525.41,0.00,-2.69
"Feb 02, 2018",2601.74,2647.69,2660.14,2598.99,0.00,-3.05
"Feb 01, 2018",2683.63,2665.77,2691.56,2663.49,0.00,0.44
"Jan 31, 2018",2671.97,2674.53,2682.52,2663.87,0.00,0.56
"Jan 30, 2018",2657.14,2708.82,2708.82,2656.76,0.00,-1.90
"Jan 29, 2018",2708.69,2726.60,2726.60,2708.41,0.00,-0.96
"Jan 26, 2018",2734.84,2732.32,2743.50,2730.19,0.00,0.37
"Jan 25, 2018",2724.77,2767.86,2768.78,2723.69,0.00,-1.06
"Jan 24, 2018",2753.94,2756.73,2760.68,2740.43,0.00,0.42
"Jan 23, 2018",2742.36,2718.64,2748.28,2715.72,0.00,0.97
"Jan 22, 2018",2715.94,2699.08,2716.73,2693.59,0.00,0.55
"Jan 19, 2018",2701.02,2683.18,2701.02,2683.18,0.00,0.38
"Jan 18, 2018",2690.86,2713.11,2713.96,2690.83,0.00,-0.89
"Jan 17, 2018",2714.93,2707.46,2724.12,2692.90,0.00,0.57
"Jan 16, 2018",2699.49,2703.36,2716.41,2693.38,0.00,0.43
"Jan 12, 2018",2688.06,2679.97,2692.16,2677.66,0.00,0.20
"Jan 11, 2018",2682.78,2677.30,2698.23,2674.85,0.00,0.32
"Jan 10, 2018",2674.10,2670.95,2682.50,2669.75,0.00,0.02
"Jan 09, 2018",2673.61,2688.82,2691.40,2673.58,0.00,-0.56
"Jan 08, 2018",2688.69,2705.51,2705.51,2686.75,0.00,-0.19
"Jan 05, 2018",2693.93,2708.99,2708.99,2691.22,0.00,-0.25
"Jan 04, 2018",2700.59,2696.21,2701.04,2690.38,0.00,0.22
"Jan 03, 2018",2694.65,2697.08,2699.32,2682.94,0.00,0.25
"Jan 02, 2018",2688.04,2668.83,2689.11,2667.20,0.00,1.00
"Dec 29, 2017",2661.50,2671.51,2675.21,2660.46,0.00,-0.24
"Dec 28, 2017",2668.01,2651.44,2669.11,2648.79,0.00,0.73
"Dec 27, 2017",2648.68,2640.87,2654.82,2637.72,0.00,0.21
"Dec 26, 2017",2643.00,2617.34,2646.67,2615.20,0.00,1.01
"Dec 22, 2017",2616.47,2600.80,2624.22,2598.31,0.00,0.53
"Dec 21, 2017",2602.68,2575.34,2604.40,2571.47,0.00,1.21
"Dec 20, 2017",2571.47,2570.73,2574.37,2558.32,0.00,-0.09
"Dec 19, 2017",2573.71,2575.35,2587.68,2572.60,0.00,0.04
"Dec 18, 2017",2572.72,2564.21,2579.60,2562.50,0.00,0.75
"Dec 15, 2017",2553.65,2559.92,2571.58,2553.50,0.00,-0.24
"Dec 14, 2017",2559.79,2550.86,2573.76,2550.36,0.00,-0.04
"Dec 13, 2017",2560.70,2558.53,2572.22,2556.57,0.00,-0.07
"Dec 12, 2017",2562.40,2568.90,2580.53,2560.88,0.00,-0.25
"Dec 11, 2017",2568.79,2567.91,2581.18,2565.84,0.00,0.08
"Dec 08, 2017",2566.82,2570.71,2572.72,2561.53,0.00,0.15
"Dec 07, 2017",2563.05,2558.82,2566.48,2558.33,0.00,0.01
"Dec 06, 2017",2562.92,2585.03,2589.07,2562.66,0.00,-1.05
"Dec 05, 2017",2590.08,2598.36,2609.78,2589.84,0.00,-0.72
"Dec 04, 2017",2608.87,2625.71,2629.21,2603.36,0.00,-0.20
"Dec 01, 2017",2614.10,2622.20,2636.94,2609.43,0.00,0.26
"Nov 30, 2017",2607.34,2595.05,2612.50,2594.65,0.00,0.58
"Nov 29, 2017",2592.27,2590.36,2592.27,2575.32,0.00,-0.14
"Nov 28, 2017",2595.86,2581.74,2597.24,2573.43,0.00,0.42
"Nov 27, 2017",2585.10,2597.78,2601.42,2582.33,0.00,-0.73
"Nov 24, 2017",2604.13,2605.34,2605.34,2594.16,0.00,0.15
"Nov 22, 2017",2600.14,2598.27,2606.30,2592.08,0.00,0.47
"Nov 21, 2017",2587.95,2583.98,2592.33,2579.12,0.00,0.41
"Nov 20, 2017",2577.32,2601.60,2601.60,2573.47,0.00,-0.93
"Nov 17, 2017",2601.48,2594.45,2601.48,2585.56,0.00,0.29
"Nov 16, 2017",2593.94,2587.91,2598.08,2585.64,0.00,0.56
"Nov 15, 2017",2579.51,2573.02,2584.83,2566.07,0.00,-0.26
"Nov 14, 2017",2586.26,2599.13,2600.99,2582.52,0.00,-0.90
"Nov 13, 2017",2609.81,2625.13,2628.91,2606.10,0.00,-0.68
"Nov 10, 2017",2627.55,2631.37,2644.24,2623.06,0.00,-0.17
"Nov 09, 2017",2632.13,2630.13,2641.26,2622.38,0.00,-0.01
"Nov 08, 2017",2632.49,2633.11,2639.47,2622.26,0.00,0.24
"Nov 07, 2017",2626.14,2644.82,2644.82,2622.33,0.00,-0.75
"Nov 06, 2017",2646.02,2621.39,2646.02,2620.90,0.00,1.08
"Nov 03, 2017",2617.79,2598.00,2618.29,2594.90,0.00,1.05
"Nov 02, 2017",2590.71,2608.08,2608.08,2580.26,0.00,-1.67
"Nov 01, 2017",2634.84,2643.00,2654.23,2625.16,0.00,0.21
"Oct 31, 2017",2629.33,2617.24,2635.01,2611.41,0.00,0.48
"Oct 30, 2017",2616.64,2603.60,2628.94,2603.60,0.00,0.29
"Oct 27, 2017",2608.97,2563.12,2609.46,2562.37,0.00,1.37
"Oct 26, 2017",2573.74,2566.74,2579.37,2563.55,0.00,0.28
"Oct 25, 2017",2566.61,2586.01,2588.43,2559.77,0.00,-0.80
"Oct 24, 2017",2587.34,2597.99,2600.54,2587.13,0.00,-0.34
"Oct 23, 2017",2596.24,2619.82,2619.82,2596.15,0.00,-0.84
"Oct 20, 2017",2618.24,2633.91,2636.63,2615.92,0.00,-0.71
"Oct 19, 2017",2636.95,2637.43,2642.50,2631.37,0.00,-0.35
"Oct 18, 2017",2646.11,2663.77,2669.54,2644.59,0.00,-0.49
"Oct 17, 2017",2659.11,2648.88,2664.12,2647.18,0.00,0.14
"Oct 16, 2017",2655.33,2653.19,2662.45,2649.69,0.00,0.20
"Oct 13, 2017",2649.98,2652.56,2656.03,2644.41,0.00,0.36
"Oct 12, 2017",2640.56,2644.05,2645.07,2629.38,0.00,-0.46
"Oct 11, 2017",2652.74,2661.80,2662.18,2645.01,0.00,0.00
"Oct 10, 2017",2652.66,2652.94,2667.03,2646.66,0.00,0.54
"Oct 09, 2017",2638.39,2655.58,2657.97,2636.42,0.00,-0.51
"Oct 06, 2017",2651.84,2640.29,2651.85,2636.92,0.00,-0.04
"Oct 05, 2017",2652.89,2645.95,2658.78,2644.10,0.00,-0.02
"Oct 04, 2017",2653.30,2666.97,2667.91,2647.37,0.00,-0.51
"Oct 03, 2017",2666.89,2655.85,2669.80,2649.60,0.00,0.60
"Oct 02, 2017",2651.02,2631.12,2652.49,2630.41,0.00,0.44
"Sep 29, 2017",2639.29,2624.07,2648.79,2624.07,0.00,0.32
"Sep 28, 2017",2630.79,2624.83,2636.45,2624.83,0.00,0.04
"Sep 27, 2017",2629.77,2625.89,2630.90,2615.85,0.00,0.37
"Sep 26, 2017",2620.01,2620.93,2627.79,2612.32,0.00,-0.37
"Sep 25, 2017",2629.71,2619.71,2632.57,2615.75,0.00,0.63
"Sep 22, 2017",2613.13,2611.80,2617.61,2605.53,0.00,0.21
"Sep 21, 2017",2607.55,2600.84,2614.94,2593.65,0.00,0.00
"Sep 20, 2017",2607.55,2616.69,2624.80,2602.75,0.00,-0.25
"Sep 19, 2017",2613.98,2610.73,2615.51,2603.99,0.00,0.30
"Sep 18, 2017",2606.13,2602.25,2615.87,2599.21,0.00,-0.03
"Sep 15, 2017",2607.04,2610.25,2610.25,2593.28,0.00,0.12
"Sep 14, 2017",2603.81,2583.40,2605.05,2579.74,0.00,0.51
"Sep 13, 2017",2590.47,2588.36,2597.12,2585.40,0.00,0.04
"Sep 12, 2017",2589.56,2576.32,2592.39,2571.18,0.00,0.51
"Sep 11, 2017",2576.54,2578.47,2582.90,2568.53,0.00,-0.03
"Sep 08, 2017",2577.26,2585.21,2586.26,2570.91,0.00,-0.52
"Sep 07, 2017",2590.83,2593.60,2593.60,2583.60,0.00,0.12
"Sep 06, 2017",2587.79,2576.98,2596.57,2576.98,0.00,0.38
"Sep 05, 2017",2578.00,2585.65,2591.28,2566.13,0.00,-0.05
"Sep 01, 2017",2579.25,2558.35,2579.25,2553.61,0.00,1.34
"Aug 31, 2017",2545.25,2525.99,2550.94,2518.87,0.00,1.17
"Aug 30, 2017",2515.88,2508.44,2520.21,2500.40,0.00,-0.10
"Aug 29, 2017",2518.49,2516.71,2521.18,2503.70,0.00,-0.09
"Aug 28, 2017",2520.87,2523.80,2527.28,2514.91,0.00,0.26
"Aug 25, 2017",2514.44,2521.36,2523.24,2509.27,0.00,-0.04
"Aug 24, 2017",2515.57,2502.55,2516.84,2495.79,0.00,0.57
"Aug 23, 2017",2501.37,2475.82,2501.84,2473.53,0.00,0.50
"Aug 22, 2017",2488.82,2481.54,2493.71,2480.90,0.00,0.57
"Aug 21, 2017",2474.80,2490.13,2494.28,2470.42,0.00,-0.77
"Aug 18, 2017",2494.01,2480.64,2498.10,2476.60,0.00,0.52
"Aug 17, 2017",2481.13,2498.50,2504.71,2481.13,0.00,-0.81
"Aug 16, 2017",2501.39,2490.51,2505.38,2489.56,0.00,0.43
"Aug 15, 2017",2490.60,2509.12,2509.12,2485.09,0.00,-0.71
"Aug 14, 2017",2508.53,2512.02,2520.02,2503.66,0.00,0.07
"Aug 11, 2017",2506.72,2492.12,2510.82,2490.16,0.00,0.61
"Aug 10, 2017",2491.49,2530.23,2530.38,2489.98,0.00,-1.38
"Aug 09, 2017",2526.23,2532.82,2536.90,2522.74,0.00,-0.19
"Aug 08, 2017",2530.94,2533.17,2538.69,2523.89,0.00,-0.21
"Aug 07, 2017",2536.21,2547.89,2547.89,2532.23,0.00,-0.45
"Aug 04, 2017",2547.76,2540.97,2551.74,2535.60,0.00,0.07
"Aug 03, 2017",2545.89,2558.20,2561.81,2540.35,0.00,-0.52
"Aug 02, 2017",2559.26,2546.90,2569.96,2545.35,0.00,0.23
"Aug 01, 2017",2553.46,2556.57,2562.71,2538.56,0.00,0.07
"Jul 31, 2017",2551.58,2555.42,2560.52,2540.52,0.00,-0.41
"Jul 28, 2017",2562.01,2565.14,2586.93,2556.10,0.00,-0.25
"Jul 27, 2017",2568.54,2590.56,2590.56,2563.44,0.00,-0.73
"Jul 26, 2017",2587.47,2584.99,2597.69,2572.26,0.00,0.46
"Jul 25, 2017",2575.58,2574.12,2588.39,2572.53,0.00,0.44
"Jul 24, 2017",2564.18,2607.87,2607.87,2547.19,0.00,-1.89
"Jul 21, 2017",2613.61,2606.91,2618.69,2594.20,0.00,1.07
"Jul 20, 2017",2585.94,2586.09,2602.62,2585.66,0.00,0.29
"Jul 19, 2017",2578.57,2555.54,2579.53,2551.20,0.00,1.53
"Jul 18, 2017",2539.72,2547.29,2550.72,2527.87,0.00,-0.84
"Jul 17, 2017",2561.15,2572.05,2576.37,2555.74,0.00,-0.34
"Jul 14, 2017",2569.87,2544.55,2574.55,2544.55,0.00,1.00
"Jul 13, 2017",2544.52,2554.35,2554.35,2541.81,0.00,-0.10
"Jul 12, 2017",2547.19,2497.30,2548.59,2497.30,0.00,2.00
"Jul 11, 2017",2497.23,2502.61,2504.07,2491.58,0.00,0.29
"Jul 10, 2017",2489.89,2499.16,2507.15,2489.56,0.00,-0.62
"Jul 07, 2017",2505.52,2510.76,2510.80,2498.39,0.00,0.05
"Jul 06, 2017",2504.25,2520.85,2524.72,2503.05,0.00,-1.21
"Jul 05, 2017",2534.96,2542.78,2542.78,2528.54,0.00,-0.68
"Jul 03, 2017",2552.20,2547.55,2555.95,2547.23,0.00,-0.12
"Jun 30, 2017",2555.38,2553.11,2565.50,2547.68,0.00,0.17
"Jun 29, 2017",2551.12,2567.17,2567.17,2536.83,0.00,-1.37
"Jun 28, 2017",2586.55,2580.25,2589.27,2573.06,0.00,0.72
"Jun 27, 2017",2568.04,2583.96,2584.15,2567.54,0.00,-0.61
"Jun 26, 2017",2583.80,2589.57,2601.53,2583.03,0.00,-0.22
"Jun 23, 2017",2589.51,2584.10,2597.52,2579.05,0.00,0.62
"Jun 22, 2017",2573.53,2590.50,2590.50,2571.57,0.00,-0.65
"Jun 21, 2017",2590.42,2590.09,2600.91,2585.57,0.00,-0.15
"Jun 20, 2017",2594.39,2609.11,2611.34,2588.47,0.00,-1.35
"Jun 19, 2017",2629.96,2624.29,2631.20,2618.05,0.00,0.31
"Jun 16, 2017",2621.75,2600.00,2622.97,2590.27,0.00,1.35
"Jun 15, 2017",2586.86,2574.83,2589.42,2570.63,0.00,-0.30
"Jun 14, 2017",2594.77,2611.63,2616.86,2589.34,0.00,0.30
"Jun 13, 2017",2587.04,2586.35,2590.77,2577.33,0.00,0.01
"Jun 12, 2017",2586.69,2585.57,2589.28,2574.12,0.00,0.24
"Jun 09, 2017",2580.47,2597.73,2607.34,2565.45,0.00,-1.37
"Jun 08, 2017",2616.39,2629.19,2629.70,2610.20,0.00,-0.86
"Jun 07, 2017",2639.19,2641.50,2643.61,2627.03,0.00,-0.33
"Jun 06, 2017",2648.06,2628.90,2648.24,2627.47,0.00,0.57
"Jun 05, 2017",2632.94,2631.40,2634.99,2624.32,0.00,-0.09
"Jun 02, 2017",2635.40,2617.65,2635.41,2614.74,0.00,0.56
"Jun 01, 2017",2620.68,2609.06,2621.47,2602.70,0.00,0.39
"May 31, 2017",2610.45,2606.63,2611.94,2592.25,0.00,0.25
"May 30, 2017",2603.90,2618.87,2618.87,2595.52,0.00,-0.57
"May 26, 2017",2618.73,2610.08,2620.82,2608.16,0.00,0.30
"May 25, 2017",2610.81,2607.36,2616.28,2605.56,0.00,0.33
"May 24, 2017",2602.21,2584.69,2603.14,2582.95,0.00,0.50
"May 23, 2017",2589.20,2603.06,2609.86,2585.67,0.00,-0.78
"May 22, 2017",2609.47,2602.94,2610.79,2596.68,0.00,0.51
"May 19, 2017",2596.29,2575.58,2601.15,2575.58,0.00,1.40
"May 18, 2017",2560.35,2574.82,2574.82,2558.51,0.00,-1.06
"May 17, 2017",2587.67,2604.52,2605.10,2583.80,0.00,-0.72
"May 16, 2017",2606.49,2608.13,2610.35,2600.38,0.00,0.91
"May 15, 2017",2583.05,2581.90,2584.37,2575.18,0.00,0.40
"May 12, 2017",2572.73,2551.32,2573.16,2549.43,0.00,1.01
"May 11, 2017",2547.09,2546.85,2549.49,2536.95,0.00,-0.19
"May 10, 2017",2551.97,2546.18,2553.79,2543.06,0.00,0.53
"May 09, 2017",2538.41,2543.85,2553.18,2530.93,0.00,-0.21
"May 08, 2017",2543.66,2540.72,2543.94,2533.49,0.00,0.61
"May 05, 2017",2528.12,2501.32,2528.14,2501.32,0.00,1.08
"May 04, 2017",2501.15,2514.81,2514.81,2494.02,0.00,-0.57
"May 03, 2017",2515.50,2528.94,2528.94,2512.56,0.00,-0.51
"May 02, 2017",2528.32,2529.80,2532.91,2522.88,0.00,0.42
"May 01, 2017",2517.76,2529.54,2531.86,2516.31,0.00,-0.46
"Apr 28, 2017",2529.36,2535.66,2535.66,2525.15,0.00,-0.03
"Apr 27, 2017",2530.21,2552.16,2552.16,2526.75,0.00,-0.95
"Apr 26, 2017",2554.47,2565.31,2570.33,2551.77,0.00,-0.33
"Apr 25, 2017",2562.83,2554.53,2563.97,2552.74,0.00,0.15
"Apr 24, 2017",2559.05,2546.91,2560.24,2543.23,0.00,1.81
"Apr 21, 2017",2513.65,2517.36,2519.41,2508.81,0.00,-0.39
"Apr 20, 2017",2523.48,2517.18,2529.14,2514.48,0.00,0.60
"Apr 19, 2017",2508.31,2525.93,2528.75,2503.40,0.00,-1.26
"Apr 18, 2017",2540.38,2540.50,2545.42,2529.19,0.00,-0.18
"Apr 17, 2017",2545.05,2534.21,2545.30,2533.44,0.00,0.72
"Apr 13, 2017",2526.84,2552.43,2552.43,2526.84,0.00,-1.04
"Apr 12, 2017",2553.48,2550.28,2553.81,2541.69,0.00,0.24
"Apr 11, 2017",2547.37,2525.46,2548.08,2525.46,0.00,0.85
"Apr 10, 2017",2526.02,2521.59,2531.00,2517.78,0.00,0.61
"Apr 07, 2017",2510.58,2517.40,2517.66,2507.43,0.00,0.10
"Apr 06, 2017",2508.04,2508.94,2513.26,2504.14,0.00,0.05
"Apr 05, 2017",2506.90,2507.41,2521.10,2505.19,0.00,-0.13
"Apr 04, 2017",2510.05,2500.55,2511.22,2496.52,0.00,0.42
"Apr 03, 2017",2499.43,2510.87,2512.75,2492.19,0.00,-0.46
"Mar 31, 2017",2510.92,2498.01,2517.00,2493.29,0.00,0.51
"Mar 30, 2017",2498.27,2515.55,2515.98,2496.13,0.00,-0.34
"Mar 29, 2017",2506.72,2485.88,2509.31,2483.14,0.00,0.69
"Mar 28, 2017",2489.48,2482.53,2492.26,2478.28,0.00,0.08
"Mar 27, 2017",2487.53,2491.91,2491.91,2479.92,0.00,0.28
"Mar 24, 2017",2480.49,2473.14,2493.23,2469.58,0.00,0.60
"Mar 23, 2017",2465.68,2456.19,2473.62,2452.03,0.00,0.37
"Mar 22, 2017",2456.64,2456.71,2460.83,2449.59,0.00,-0.07
"Mar 21, 2017",2458.34,2480.93,2484.35,2456.07,0.00,-0.23
"Mar 20, 2017",2463.91,2467.36,2472.01,2456.86,0.00,-0.01
"Mar 17, 2017",2464.26,2460.98,2473.49,2459.91,0.00,0.78
"Mar 16, 2017",2445.29,2454.21,2458.80,2443.51,0.00,0.97
"Mar 15, 2017",2421.74,2387.54,2425.05,2387.22,0.00,0.40
"Mar 14, 2017",2412.02,2424.47,2424.47,2407.61,0.00,-0.69
"Mar 13, 2017",2428.90,2424.23,2431.39,2419.47,0.00,0.55
"Mar 10, 2017",2415.58,2416.06,2420.05,2405.06,0.00,0.41
"Mar 09, 2017",2405.61,2408.86,2412.37,2400.12,0.00,-0.16
"Mar 08, 2017",2409.35,2433.72,2438.38,2409.35,0.00,-1.21
"Mar 07, 2017",2438.91,2439.07,2443.03,2434.24,0.00,-0.20
"Mar 06, 2017",2443.85,2441.50,2445.94,2433.67,0.00,-0.42
"Mar 03, 2017",2454.07,2439.73,2456.15,2439.39,0.00,-0.24
"Mar 02, 2017",2459.98,2472.42,2474.47,2458.26,0.00,-1.06
"Mar 01, 2017",2486.43,2469.69,2487.29,2465.61,0.00,0.62
"Feb 28, 2017",2471.08,2482.68,2486.05,2467.90,0.00,-0.80
"Feb 27, 2017",2490.97,2483.35,2497.75,2476.65,0.00,0.26
"Feb 24, 2017",2484.46,2482.33,2489.80,2474.70,0.00,-0.62
"Feb 23, 2017",2499.85,2488.61,2504.53,2484.00,0.00,1.09
"Feb 22, 2017",2472.90,2467.27,2473.78,2462.40,0.00,-0.22
"Feb 21, 2017",2478.27,2466.53,2478.31,2460.55,0.00,0.42
"Feb 17, 2017",2467.95,2464.21,2470.44,2459.99,0.00,-0.09
"Feb 16, 2017",2470.25,2466.76,2472.96,2459.56,0.00,0.29
"Feb 15, 2017",2463.02,2442.83,2465.29,2441.39,0.00,0.41
"Feb 14, 2017",2453.04,2465.69,2465.69,2438.67,0.00,-0.40
"Feb 13, 2017",2462.88,2481.58,2481.58,2452.18,0.00,-0.38
"Feb 10, 2017",2472.26,2472.03,2478.92,2469.22,0.00,0.10
"Feb 09, 2017",2469.80,2478.27,2478.83,2467.06,0.00,0.10
"Feb 08, 2017",2467.22,2467.70,2477.06,2462.87,0.00,0.30
"Feb 07, 2017",2459.91,2457.62,2461.21,2449.63,0.00,-0.05
"Feb 06, 2017",2461.05,2469.12,2469.12,2452.13,0.00,-0.17
"Feb 03, 2017",2465.14,2441.06,2467.86,2441.06,0.00,0.99
"Feb 02, 2017",2440.94,2441.54,2447.00,2434.74,0.00,0.30
"Feb 01, 2017",2433.57,2438.24,2442.44,2428.66,0.00,-0.11
"Jan 31, 2017",2436.19,2417.64,2437.87,2417.64,0.00,0.77
"Jan 30, 2017",2417.52,2438.35,2438.35,2415.65,0.00,-1.54
"Jan 27, 2017",2455.37,2457.54,2464.28,2446.70,0.00,-0.12
"Jan 26, 2017",2458.25,2458.42,2463.18,2454.74,0.00,0.20
"Jan 25, 2017",2453.36,2428.96,2456.24,2426.44,0.00,1.97
