Date,Price,Open,High,Low,Vol.,Change %
"Feb 09, 2018",6412.68,6395.16,6453.43,6164.43,318.49M,1.69
"Feb 08, 2018",6306.10,6595.81,6606.05,6304.18,277.35M,-4.19
"Feb 07, 2018",6582.02,6632.98,6716.25,6581.38,226.58M,-1.26
"Feb 06, 2018",6665.98,6378.60,6673.41,6370.48,320.31M,2.62
"Feb 05, 2018",6495.92,6687.47,6807.96,6495.39,300.13M,-3.91
"Feb 02, 2018",6760.29,6866.38,6889.07,6756.54,228.27M,-2.05
"Feb 01, 2018",6901.50,6910.57,6970.77,6879.02,210.60M,-0.70
"Jan 31, 2018",6949.99,6972.81,6983.61,6915.48,223.75M,0.28
"Jan 30, 2018",6930.73,6910.39,6958.79,6894.63,179.24M,-0.82
"Jan 29, 2018",6988.31,7000.68,7020.64,6974.70,178.73M,-0.49
"Jan 26, 2018",7022.97,6956.66,7022.97,6941.48,199.02M,1.54
"Jan 25, 2018",6916.30,6965.01,6967.60,6894.84,158.08M,-0.04
"Jan 24, 2018",6919.35,6975.38,6992.91,6880.68,190.69M,-0.63
"Jan 23, 2018",6963.46,6928.27,6969.40,6926.37,155.94M,0.83
"Jan 22, 2018",6906.28,6829.55,6906.28,6822.85,169.01M,1.05
"Jan 19, 2018",6834.33,6829.04,6843.24,6801.59,193.11M,0.34
"Jan 18, 2018",6811.38,6804.59,6826.79,6784.72,152.95M,0.02
"Jan 17, 2018",6810.28,6767.85,6820.04,6738.45,178.23M,1.09
"Jan 16, 2018",6737.14,6807.85,6835.79,6719.11,196.08M,-0.32
"Jan 12, 2018",6758.54,6699.32,6763.98,6695.52,160.68M,0.75
"Jan 11, 2018",6708.49,6675.69,6708.49,6664.74,136.26M,0.69
"Jan 10, 2018",6662.66,6640.66,6663.51,6619.35,153.38M,-0.23
"Jan 09, 2018",6677.94,6692.87,6696.12,6658.27,146.93M,0.02
"Jan 08, 2018",6676.63,6651.68,6680.32,6649.20,150.38M,0.35
"Jan 05, 2018",6653.29,6613.12,6654.98,6605.03,152.65M,1.04
"Jan 04, 2018",6584.58,6595.75,6603.17,6576.92,153.92M,0.13
"Jan 03, 2018",6575.80,6520.03,6579.25,6519.26,170.11M,0.99
"Jan 02, 2018",6511.34,6431.59,6513.02,6417.75,149.67M,1.80
"Dec 29, 2017",6396.42,6439.90,6442.53,6396.42,131.70M,-0.70
"Dec 28, 2017",6441.42,6449.52,6452.07,6432.68,77.62M,0.10
"Dec 27, 2017",6435.15,6437.06,6448.94,6425.92,90.87M,0.03
"Dec 26, 2017",6433.16,6427.32,6438.24,6407.99,93.22M,-0.50
"Dec 22, 2017",6465.17,6462.55,6467.83,6449.00,114.35M,-0.12
"Dec 21, 2017",6472.69,6481.08,6501.52,6467.78,143.80M,0.00
"Dec 20, 2017",6472.48,6504.55,6504.55,6447.93,150.89M,-0.13
"Dec 19, 2017",6480.67,6505.35,6510.87,6462.79,163.38M,-0.50
