Date,Price,Open,High,Low,Vol.,Change %
"Feb 09, 2018",21382.62,21507.74,21510.30,21119.01,1.32B,-2.32
"Feb 08, 2018",21890.86,21721.57,21977.03,21649.70,1.08B,1.13
"Feb 07, 2018",21645.37,22001.29,22353.87,21627.13,1.48B,0.16
"Feb 06, 2018",21610.24,22267.00,22277.45,21078.71,1.96B,-4.73
"Feb 05, 2018",22682.08,22921.16,22967.69,22659.43,1.11B,-2.55
"Feb 02, 2018",23274.53,23361.67,23367.96,23122.45,1.02B,-0.90
"Feb 01, 2018",23486.11,23276.10,23492.77,23211.12,1.05B,1.68
"Jan 31, 2018",23098.29,23205.23,23375.38,23092.85,1.03B,-0.83
"Jan 30, 2018",23291.97,23559.33,23581.98,23233.37,914.75M,-1.43
"Jan 29, 2018",23629.34,23707.14,23787.23,23580.17,708.86M,-0.01
"Jan 26, 2018",23631.88,23757.34,23797.96,23592.28,898.74M,-0.16
"Jan 25, 2018",23669.49,23750.65,23828.40,23649.03,840.06M,-1.13
"Jan 24, 2018",23940.78,24026.43,24072.77,23917.14,824.27M,-0.76
"Jan 23, 2018",24124.15,23924.40,24129.34,23916.02,757.50M,1.29
"Jan 22, 2018",23816.33,23797.84,23816.33,23697.81,671.64M,0.03
"Jan 19, 2018",23808.06,23854.11,23872.69,23735.61,740.33M,0.19
"Jan 18, 2018",23763.37,24078.93,24084.42,23699.47,1.03B,-0.44
"Jan 17, 2018",23868.34,23783.42,23891.63,23739.17,847.43M,-0.35
"Jan 16, 2018",23951.81,23721.17,23962.07,23701.83,706.43M,1.00
"Jan 15, 2018",23714.88,23827.98,23833.27,23685.02,776.95M,0.26
"Jan 12, 2018",23653.82,23719.66,23743.05,23588.07,966.08M,-0.24
"Jan 11, 2018",23710.43,23656.39,23734.97,23601.84,862.80M,-0.33
"Jan 10, 2018",23788.20,23832.81,23864.76,23755.45,914.88M,-0.26
"Jan 09, 2018",23849.99,23948.97,23952.61,23789.03,970.17M,0.57
"Jan 05, 2018",23714.53,23643.00,23730.47,23520.52,1.05B,0.89
"Jan 04, 2018",23506.33,23073.73,23506.33,23065.20,1.05B,3.26
"Dec 29, 2017",22764.94,22831.49,22881.21,22753.20,478.72M,-0.08
"Dec 28, 2017",22783.98,22912.05,22954.45,22736.43,519.04M,-0.56
"Dec 27, 2017",22911.21,22854.39,22936.16,22854.39,487.44M,0.08
"Dec 26, 2017",22892.69,22922.95,22950.15,22877.63,477.84M,-0.20
"Dec 25, 2017",22939.18,22909.41,22948.83,22870.19,444.48M,0.16
"Dec 22, 2017",22902.76,22850.73,22908.84,22801.16,802.25M,0.16
"Dec 21, 2017",22866.10,22852.01,22894.95,22728.06,753.33M,-0.11
"Dec 20, 2017",22891.72,22834.93,22923.50,22806.73,952.70M,0.10
"Dec 19, 2017",22868.00,22961.47,22990.42,22862.82,726.76M,-0.15
"Dec 18, 2017",22901.77,22770.44,22927.50,22735.20,878.11M,1.55
"Dec 15, 2017",22553.22,22621.36,22745.09,22478.32,1.03B,-0.62
"Dec 14, 2017",22694.45,22699.30,22786.61,22638.76,876.58M,-0.28
"Dec 13, 2017",22758.07,22879.27,22879.37,22697.32,941.92M,-0.47
"Dec 12, 2017",22866.17,22936.41,22994.33,22834.89,888.24M,-0.32
"Dec 11, 2017",22938.73,22894.30,22938.73,22787.40,716.03M,0.56
"Dec 08, 2017",22811.08,22627.95,22819.71,22625.41,1.10B,1.39
"Dec 07, 2017",22498.03,22317.15,22515.24,22317.15,820.30M,1.45
"Dec 06, 2017",22177.04,22525.38,22528.21,22119.21,1.00B,-1.97
"Dec 05, 2017",22622.38,22595.33,22682.71,22522.28,781.76M,-0.37
"Dec 04, 2017",22707.16,22843.53,22864.33,22693.99,710.49M,-0.49
"Dec 01, 2017",22819.03,22916.93,22994.31,22675.07,924.74M,0.41
"Nov 30, 2017",22724.96,22601.83,22748.32,22502.68,1.45B,0.57
"Nov 29, 2017",22597.20,22613.96,22643.93,22537.12,935.38M,0.49
"Nov 28, 2017",22486.24,22474.74,22580.99,22363.94,791.60M,-0.04
"Nov 27, 2017",22495.99,22657.08,22659.33,22423.40,687.22M,-0.24
"Nov 24, 2017",22550.85,22390.14,22567.20,22381.01,667.53M,0.12
"Nov 22, 2017",22523.15,22601.55,22677.34,22513.44,835.59M,0.48
"Nov 21, 2017",22416.48,22456.79,22563.25,22416.48,785.02M,0.70
"Nov 20, 2017",22261.76,22279.98,22410.24,22215.07,738.96M,-0.60
"Nov 17, 2017",22396.80,22603.30,22757.40,22319.12,1.17B,0.20
"Nov 16, 2017",22351.12,21975.23,22392.13,21972.34,995.95M,1.47
"Nov 15, 2017",22028.32,22250.98,22305.24,22004.79,1.24B,-1.57
"Nov 14, 2017",22380.01,22342.93,22532.30,22323.24,989.45M,0.00
"Nov 13, 2017",22380.99,22607.56,22607.92,22380.99,831.86M,-1.32
"Nov 10, 2017",22681.42,22580.70,22724.39,22511.93,1.10B,-0.82
"Nov 09, 2017",22868.71,22989.44,23382.15,22522.83,1.65B,-0.20
"Nov 08, 2017",22913.82,22849.91,22922.80,22759.07,1.03B,-0.10
"Nov 07, 2017",22937.60,22518.75,22953.18,22512.91,1.11B,1.73
"Nov 06, 2017",22548.35,22612.96,22644.68,22435.34,1.15B,0.04
