Date,Price,Open,High,Low,Vol.,Change %
"Feb 09, 2018",34005.76,34002.45,34070.73,33849.65,15.73K,-1.18
"Feb 08, 2018",34413.16,34208.11,34634.35,34108.76,36.78K,0.97
"Feb 07, 2018",34082.71,34563.30,34666.33,34008.42,13.52K,-0.33
"Feb 06, 2018",34195.94,33753.78,34521.01,33482.81,23.58K,-1.61
"Feb 05, 2018",34757.16,34718.85,34874.17,34520.80,24.17K,-0.88
"Feb 02, 2018",35066.75,35707.60,35738.13,35006.41,18.60K,-2.34
"Feb 01, 2018",35906.66,36048.99,36256.83,35501.74,26.01K,-0.16
"Jan 31, 2018",35965.02,35951.64,36050.69,35818.41,11.26K,-0.19
"Jan 30, 2018",36033.73,36277.12,36291.82,35993.41,18.70K,-0.69
"Jan 29, 2018",36283.25,36106.36,36443.98,36093.36,17.38K,0.65
"Jan 25, 2018",36050.44,36208.39,36247.02,35823.35,15.62K,-0.31
"Jan 24, 2018",36161.64,36161.62,36268.19,36036.51,26.04K,0.06
"Jan 23, 2018",36139.98,35868.19,36170.83,35863.98,27.82K,0.96
"Jan 22, 2018",35798.01,35613.97,35827.70,35544.68,14.14K,0.81
"Jan 19, 2018",35511.58,35339.11,35542.17,35221.16,36.30K,0.71
"Jan 18, 2018",35260.29,35366.45,35507.36,35166.44,16.17K,0.51
"Jan 17, 2018",35081.82,34753.80,35118.61,34700.82,36.09K,0.89
"Jan 16, 2018",34771.05,34877.71,34936.03,34735.55,55.31K,-0.21
"Jan 15, 2018",34843.51,34687.21,34963.69,34687.21,15.00K,0.73
"Jan 12, 2018",34592.39,34578.99,34638.42,34342.16,8.02K,0.26
"Jan 11, 2018",34503.49,34471.48,34558.88,34400.61,8.25K,0.20
"Jan 10, 2018",34433.07,34538.78,34565.63,34311.63,8.75K,-0.03
"Jan 09, 2018",34443.19,34431.61,34488.03,34343.41,11.48K,0.26
"Jan 08, 2018",34352.79,34216.33,34385.67,34216.33,13.90K,0.58
"Jan 05, 2018",34153.85,34021.27,34188.85,34020.84,15.20K,0.54
"Jan 04, 2018",33969.64,33912.49,33995.40,33802.13,10.82K,0.52
"Jan 03, 2018",33793.38,33929.61,33998.37,33765.43,9.33K,-0.06
"Jan 02, 2018",33812.26,33913.55,33964.14,33703.37,10.95K,0.00
"Jan 01, 2018",33812.75,34059.99,34101.13,33766.15,7.74K,-0.72
"Dec 29, 2017",34056.83,33889.39,34086.05,33889.39,12.46K,0.62
"Dec 28, 2017",33848.03,33928.86,34023.65,33752.03,9.81K,-0.19
"Dec 27, 2017",33911.81,34087.32,34137.97,33839.51,11.17K,-0.29
"Dec 26, 2017",34010.61,33980.76,34061.88,33889.75,13.31K,0.21
"Dec 22, 2017",33940.30,33768.47,33964.28,33767.73,7.97K,0.55
"Dec 21, 2017",33756.28,33826.25,33860.99,33707.80,10.23K,-0.06
"Dec 20, 2017",33777.38,33928.59,33956.31,33754.94,7.31K,-0.18
"Dec 19, 2017",33836.74,33732.08,33862.07,33666.62,21.23K,0.70
"Dec 18, 2017",33601.68,33364.52,33801.90,32595.63,21.79K,0.41
"Dec 15, 2017",33462.97,33456.02,33621.96,33405.82,24.90K,0.65
"Dec 14, 2017",33246.70,33114.69,33321.52,32886.93,11.53K,0.59
"Dec 13, 2017",33053.04,33229.73,33404.26,32988.82,25.29K,-0.53
"Dec 12, 2017",33227.99,33426.59,33458.41,33179.75,8.46K,-0.68
"Dec 11, 2017",33455.79,33317.72,33535.97,33313.17,12.44K,0.62
"Dec 08, 2017",33250.30,33034.20,33285.68,33034.20,14.60K,0.91
"Dec 07, 2017",32949.21,32615.05,32992.45,32598.12,9.79K,1.08
"Dec 06, 2017",32597.18,32798.50,32804.75,32565.16,9.91K,-0.63
"Dec 05, 2017",32802.44,32814.03,32893.05,32682.52,8.88K,-0.20
"Dec 04, 2017",32869.72,32968.02,33008.47,32785.76,9.91K,0.11
"Dec 01, 2017",32832.94,33247.66,33300.81,32797.78,9.52K,-0.95
"Nov 30, 2017",33149.35,33542.50,33576.20,33108.72,7.64K,-1.35
